msoa_code,msoa_name,borough_code,borough_name,area_km2,population,transport_nodes,income_bhc,core_bakery_count,core_and_cafe_count,bakery_count,income_expected_core_bakery_count,income_expected_core_and_cafe_count,income_expected_bakery_count,core_raw_shortfall,core_standardised_shortfall,core_underprovision_percentile,core_underprovision_rank,core_top_decile,core_cafe_raw_shortfall,core_cafe_standardised_shortfall,core_cafe_underprovision_percentile,core_cafe_underprovision_rank,core_cafe_top_decile,all_raw_shortfall,all_standardised_shortfall,all_underprovision_percentile,all_underprovision_rank,all_top_decile,expected_core_bakery_count,expected_core_and_cafe_count,expected_bakery_count,core_base_model_score,core_base_model_percentile,core_population_baseline_expected,core_population_baseline_shortfall,core_population_baseline_percentile,core_density_baseline_expected,core_density_baseline_shortfall,core_density_baseline_percentile,core_cafe_base_model_score,core_cafe_base_model_percentile,core_cafe_population_baseline_expected,core_cafe_population_baseline_shortfall,core_cafe_population_baseline_percentile,core_cafe_density_baseline_expected,core_cafe_density_baseline_shortfall,core_cafe_density_baseline_percentile,all_base_model_score,all_base_model_percentile,all_population_baseline_expected,all_population_baseline_shortfall,all_population_baseline_percentile,all_density_baseline_expected,all_density_baseline_shortfall,all_density_baseline_percentile,core_cafe_base_model_rank,core_cafe_population_baseline_rank,core_cafe_density_baseline_rank
E02000661,Lewisham 009,E09000023,Lewisham,1.2868244874747077,6593,28,56749,3,5,8,1.2342589057176765,4.147890133787326,6.145919558834311,-1.7657410942823235,-1.0404302475535092,12.574850299401197,877,False,-0.8521098662126736,-0.1782197674103508,27.24550898203593,730,False,-1.8540804411656888,-0.3322582062792818,26.34730538922156,739,False,1.1319837566738746,3.5540080690229594,5.5028639993573325,-1.1659783749644907,10.578842315369261,0.6709243260750367,-2.3290756739249634,5.688622754491018,0.7464090696605582,-2.253590930339442,9.081836327345309,-0.3284729527452874,22.75449101796407,2.1237474883759,-2.8762525116241,12.674650698602793,2.3626873037471507,-2.6373126962528493,16.86626746506986,-0.47587325759715343,21.956087824351297,3.755725578828692,-4.244274421171308,13.17365269461078,4.178276932651211,-3.821723067348789,21.057884231536928,775,876,834
E02000662,Lewisham 010,E09000023,Lewisham,0.7700351315190639,7756,19,49818,0,1,3,0.8089268940051373,2.373968298275213,4.252270857782854,0.8089268940051373,0.6570035402244238,74.35129740518963,258,False,1.373968298275213,0.4711723018845412,57.68463073852296,425,False,1.252270857782854,0.3109696904777976,51.09780439121756,491,False,0.8095073166226684,2.4610805685978763,4.309049625074641,0.6516349555799268,72.35528942115769,0.7892748480263894,0.7892748480263894,60.17964071856288,0.4466508150237442,0.4466508150237442,54.59081836327345,0.46089156421662375,57.58483033932136,2.4983748702932624,1.4983748702932624,48.902195608782435,1.4138309042048895,0.41383090420488955,43.812375249500995,0.3101065728504476,50.399201596806385,4.418232608735831,1.4182326087358312,45.40918163672655,2.500278832641024,-0.4997211673589761,40.91816367265469,426,513,564
E02000663,Lewisham 011,E09000023,Lewisham,0.6562852096499355,6733,16,56189,1,1,2,0.7930249631171703,2.629226363400414,4.24215085497111,-0.2069750368828297,-0.1705641124555041,32.53493013972056,677,False,1.6292263634004138,0.5114441134444893,59.98003992015968,402,False,2.2421508549711104,0.5579350389136314,65.26946107784431,349,False,0.714501098791223,2.162013225530793,3.681760235840528,-0.2517474021245926,29.34131736526946,0.6851711644870654,-0.3148288355129346,23.15369261477046,0.3806713639154468,-0.6193286360845531,25.349301397205586,0.4103637872918561,52.69461077844312,2.168844507695273,1.168844507695273,42.115768463073856,1.2049791930210034,0.20497919302100343,40.818363273453095,0.4569595162996789,58.982035928143716,3.835477069961108,1.835477069961108,50.49900199600798,2.1309365647072256,0.1309365647072256,45.90818363273453,475,581,594
E02000665,Lewisham 013,E09000023,Lewisham,0.8003927519002981,7969,17,50705,0,1,5,0.7575781655335045,2.2779185186037783,4.123179881416497,0.7575781655335045,0.6454350618837793,71.25748502994011,289,False,1.2779185186037785,0.4540478982083831,56.986027944111775,432,False,-0.8768201185835034,-0.2236369232401981,30.33932135728543,699,False,0.7373120765026018,2.222817880289783,4.004956520438992,0.6355184385927857,67.46506986027944,0.8109503950389758,0.8109503950389758,63.47305389221557,0.46425943485218124,0.46425943485218124,56.4870259481038,0.42158171554480484,53.69261477045908,2.566986763972023,1.566986763972023,50.44910179640718,1.469569324591553,0.4695693245915531,45.00998003992016,-0.25132153098465226,28.2435129740519,4.539568805958721,-0.46043119404127886,28.642714570858285,2.5988490309887506,-2.4011509690112494,28.74251497005988,465,497,552
E02000666,Lewisham 014,E09000023,Lewisham,0.9523183350601436,7050,23,52478,0,2,4,0.9794113806835524,3.01119171794006,4.937896877684751,0.9794113806835524,0.689821219990037,85.62874251497006,145,False,1.01119171794006,0.2818360270562252,48.20359281437126,520,False,0.9378968776847508,0.2043183429449883,46.50698602794412,537,False,0.9561180910517868,2.955506706695583,4.836861087420618,0.6795368871931798,82.63473053892216,0.7174300771771589,0.7174300771771589,51.996007984031934,0.5523822785559982,0.5523822785559982,61.17764471057884,0.2562923606122021,44.01197604790419,2.270957044296996,0.27095704429699596,30.83832335329341,1.748513850391311,-0.2514861496086891,33.433133732534934,0.1789918085576636,44.31137724550898,4.01605723202522,0.016057232025220358,32.23552894211577,3.092146419851847,-0.9078535801481529,37.72455089820359,562,694,668
E02000667,Lewisham 015,E09000023,Lewisham,0.7271187053039904,6732,18,54097,0,2,6,0.833173947948874,2.635197130803536,4.309032972645988,0.833173947948874,0.6621651088558009,75.74850299401199,244,False,0.6351971308035358,0.199006685802294,44.21157684630739,560,False,-1.690967027354012,-0.4150948866364448,23.652694610778443,766,False,0.7860423668942458,2.396423442411095,4.006868369622339,0.6465921545980431,70.85828343313374,0.6850694013555509,0.6850694013555509,49.30139720558882,0.42175759137425356,0.42175759137425356,52.39520958083832,0.12800181993575785,38.12375249500998,2.168522386128706,0.16852238612870618,29.94011976047904,1.3350337595068265,-0.6649662404931735,30.63872255489022,-0.5032025378441151,20.958083832335326,3.8349074164530195,-2.1650925835469805,20.459081836327346,2.360930603390146,-3.639069396609854,21.55688622754491,621,703,696
E02000668,Lewisham 016,E09000023,Lewisham,1.0091144710656008,6722,15,53383,0,1,3,0.714674832186629,2.2205250871061915,3.750997276139691,0.714674832186629,0.6350385009728554,68.06387225548902,321,False,1.2205250871061917,0.4432203721075636,56.2874251497006,439,False,0.750997276139691,0.2078037303515134,46.706586826347305,535,False,0.6783992755551298,2.0445294338254385,3.5144707268049324,0.6209215278698936,63.07385229540918,0.6840517700404061,0.6840517700404061,49.20159680638723,0.5853262825353918,0.5853262825353918,63.37325349301397,0.3870837812782099,51.19760479041916,2.1653011704630365,1.1653011704630365,42.01596806387226,1.8527949786633804,0.8527949786633804,50.79840319361277,0.14550512813040248,42.315369261477045,3.8292108813721324,0.8292108813721324,39.421157684630735,3.2765616118575767,0.27656161185757666,47.30538922155689,490,582,494
E02000669,Lewisham 017,E09000023,Lewisham,0.6423622132847243,8003,14,53148,1,2,2,0.685620520582229,2.1789391064544463,3.915497042935504,-0.314379479417771,-0.2877657439727099,27.744510978043916,725,False,0.1789391064544463,0.066035684886751,37.82435129740519,624,False,1.9154970429355036,0.5108487037028252,62.7744510978044,374,False,0.6302567820371231,1.8764495512044943,3.489955097874892,-0.35660852004873217,26.34730538922156,0.8144103415104685,-0.18558965848953146,27.844311377245507,0.37259547566106754,-0.6274045243389325,24.9500998003992,-0.04927099715155972,30.439121756487026,2.577938897235299,0.577938897235299,34.13173652694611,1.1794157326871413,-0.8205842673128587,28.642714570858285,0.4239381572227161,57.28542914171657,4.558937025233736,2.5589370252337362,59.3812375249501,2.085729051862711,0.08572905186271118,45.40918163672655,698,661,716
E02000670,Lewisham 018,E09000023,Lewisham,0.6217365783224568,6775,10,43358,0,0,3,0.4340085485445168,1.0703234223598164,2.1840117939720645,0.4340085485445168,0.5435610639181013,50.1996007984032,500,False,1.0703234223598164,0.7032660871475096,72.65469061876247,275,False,-0.8159882060279355,-0.3531073597870659,26.04790419161677,742,False,0.4915484085513585,1.4439534744025455,2.6470846354211246,0.5630725069105934,52.8942115768463,0.689445216010674,0.689445216010674,49.9001996007984,0.3606317920715858,0.3606317920715858,48.70259481037924,0.7169575057487281,75.44910179640718,2.1823736134910847,2.1823736134910847,65.86826347305389,1.1415458239844358,1.1415458239844358,55.38922155688623,-0.12680772621512262,32.43512974051897,3.8594025173008326,0.8594025173008326,39.82035928143712,2.0187582911855904,-0.9812417088144096,37.22554890219561,247,343,448
E02000671,Lewisham 019,E09000023,Lewisham,0.9942723863825864,8642,20,54880,0,4,7,0.938865586634114,3.156411932954882,5.427397012719845,0.938865586634114,0.6826961780075472,83.23353293413174,169,False,-0.8435880670451179,-0.2255214180059646,25.848303393213573,744,False,-1.5726029872801552,-0.3150361911641411,27.045908183632733,732,False,0.8335213401237411,2.5287264739941597,4.604261382271592,0.6566153924020375,74.15169660678643,0.879436982548228,0.879436982548228,73.55289421157684,0.5767172867260159,0.5767172867260159,63.07385229540918,-0.453178424920031,20.25948103792415,2.78377457827158,-1.2162254217284199,18.263473053892216,1.8255440167932697,-2.1744559832067303,18.7624750499002,-0.5353145009131481,20.059880239520957,4.922945616902405,-2.077054383097595,20.758483033932134,3.2283698493700648,-3.7716301506299352,21.157684630738522,800,820,815
