FHRSID,BusinessName,BusinessType,PostCode,LocalAuthorityName,geocode.longitude,geocode.latitude,BusinessNameClean
1727217,The gluten free bakery,Manufacturers/packers,SE15 4PU,Southwark,-0.0740905,51.468132,the gluten free bakery
1727219,Ntex consulting limited,Hotel/bed & breakfast/guest house,,Southwark,,,ntex consulting limited
1727221,Moja desserts,Restaurant/Cafe/Canteen,SE1 6AQ,Southwark,-0.093186,51.494514,moja desserts
1732924,Londis - lockwood,Retailers - supermarkets/hypermarkets,SE16 2HS,Southwark,-0.061448,51.496223,londis lockwood
1732925,Calm coffee roastery ltd,Restaurant/Cafe/Canteen,SE15 4BP,Southwark,-0.0681952,51.4707435,calm coffee roastery ltd
1732926,Bhinder off licence,Retailers - other,SE15 5SL,Southwark,-0.066488,51.474167,bhinder off licence
1732927,Chef sia,Takeaway/sandwich shop,SE16 3DH,Southwark,-0.0622882,51.4847177,chef sia
1732930,Lahpet,Restaurant/Cafe/Canteen,SE1 3XF,Southwark,-0.0822179,51.5021641,lahpet
1732935,Divine butler news,Retailers - other,SE1 2LY,Southwark,-0.0753901,51.5040978,divine butler news
1732937,Bad boy pizza society,Takeaway/sandwich shop,SE1 3QU,Southwark,-0.0840812,51.5028731,bad boy pizza society
1732938,Macatia and coffee,Restaurant/Cafe/Canteen,SE24 9JU,Southwark,-0.1014206,51.4526436,macatia and coffee
1732939,Yagi izakaya,Takeaway/sandwich shop,SE16 3AE,Southwark,-0.0697855,51.4959484,yagi izakaya
1732943,Parrilla peruvian grill,Mobile caterer,SE1 1JA,Southwark,-0.0921383,51.501314,parrilla peruvian grill
1732944,The little green thai,Mobile caterer,SE1 1JA,Southwark,-0.0921383,51.501314,the little green thai
1732945,Bleecker st burger,Restaurant/Cafe/Canteen,SE1 2TH,Southwark,-0.082749,51.504289,bleecker st burger
1732946,Burger classic t/a rare burgers,Takeaway/sandwich shop,SE16 3DH,Southwark,-0.0600309,51.4849325,burger classic t a rare burgers
1732947,Taco taco peckham ltd,Takeaway/sandwich shop,SE15 4BQ,Southwark,-0.0680731,51.4698382,taco taco peckham ltd
1732948,Breakthebarrier cic,Retailers - other,SE17 3NH,Southwark,-0.1026207,51.4821764,breakthebarrier cic
1732949,Aspens services ltd,School/college/university,SE1 6EX,Southwark,,,aspens services ltd
1732950,The black pig,Takeaway/sandwich shop,SE1 9AG,Southwark,,,the black pig
1732952,Poon's london,Manufacturers/packers,SE16 4RA,Southwark,-0.0669641,51.4957036,poon s london
1732954,Lebo grill,Takeaway/sandwich shop,SE1 4AG,Southwark,-0.0916993,51.4943552,lebo grill
1737227,Gourmet goat,Takeaway/sandwich shop,SE1 9AF,Southwark,-0.091123,51.5057307,gourmet goat
1737228,Brasileiro,Retailers - other,SE5 0EN,Southwark,-0.094651,51.483566,brasileiro
1737229,Noko food and bar,Restaurant/Cafe/Canteen,SE17 1FH,Southwark,-0.0967145,51.4918918,noko food and bar
1737231,Bath dairy,Takeaway/sandwich shop,,Southwark,,,bath dairy
1737232,Mighton's organic ltd,Manufacturers/packers,SE5 7HN,Southwark,-0.0912283,51.4770005,mighton s organic ltd
1737234,Jd & s caribbean cuizzine,Takeaway/sandwich shop,SE15 5BY,Southwark,-0.0697402,51.4712529,jd and s caribbean cuizzine
1737236,N1 bar london,Restaurant/Cafe/Canteen,SE1 6TH,Southwark,-0.100155,51.492873,n1 bar london
1737243,Nativo peckham,Takeaway/sandwich shop,SE15 4BQ,Southwark,-0.0680731,51.4698382,nativo peckham
1737244,Queens rosticceria,Takeaway/sandwich shop,SE15 2JR,Southwark,-0.0559126,51.4761052,queens rosticceria
1737245,Ayal,Takeaway/sandwich shop,SE16 3DH,Southwark,-0.0600309,51.4849325,ayal
1737248,El rinconcito peruano la chalaquita ltd,Restaurant/Cafe/Canteen,SE1 5NA,Southwark,-0.081018,51.490951,el rinconcito peruano la chalaquita ltd
1737250,Eat momo,Other catering premises,SE1 9FJ,Southwark,-0.0925366,51.5070156,eat momo
1738980,Fleurie,Restaurant/Cafe/Canteen,SE1 3UB,Southwark,-0.082129,51.500862,fleurie
1738983,Chaska maska,Restaurant/Cafe/Canteen,SE15 2EZ,Southwark,-0.059484,51.473961,chaska maska
1738985,Greek kitchen,Retailers - other,SE15 4BQ,Southwark,-0.0681686,51.4698208,greek kitchen
1738990,Waffle and cream,Restaurant/Cafe/Canteen,SE1 1TU,Southwark,-0.091909,51.5048532,waffle and cream
1738991,Jerk shepherd,Takeaway/sandwich shop,SE15 4BW,Southwark,-0.073218,51.466859,jerk shepherd
1738992,Green grocer,Retailers - other,SE17 2DN,Southwark,-0.093948,51.487979,green grocer
1738994,Baba butcher and grocers ltd,Retailers - other,SE15 5BS,Southwark,-0.070053,51.472256,baba butcher and grocers ltd
1738995,R&b off licence,Retailers - other,SE1 3BN,Southwark,-0.077524,51.495598,r and b off licence
1738997,Henge coffee,Takeaway/sandwich shop,SE5 0RW,Southwark,-0.093442,51.473988,henge coffee
1738998,Accent catering services limited,School/college/university,SE16 7LP,Southwark,-0.043583,51.499614,accent catering services limited
1738999,Spice cafe ltd,Restaurant/Cafe/Canteen,SE5 0RW,Southwark,-0.0937677,51.4741192,spice cafe ltd
1739001,Donnelys also trading as falafel & mexibowl,Takeaway/sandwich shop,SE1 2HD,Southwark,-0.0833601,51.5060489,donnelys also trading as falafel and mexibowl
1739003,Bake with monia,Restaurant/Cafe/Canteen,SE15 4JR,Southwark,-0.0666001,51.4654906,bake with monia
1739007,Gail's elephant park,Restaurant/Cafe/Canteen,SE17 1FH,Southwark,-0.0962930023670197,51.4918937683105,gail s elephant park
1739008,Spellbound games ltd.,Retailers - other,SE17 3FR,Southwark,-0.0974119,51.4883518,spellbound games ltd
1742489,Blue anchor fish bar,Takeaway/sandwich shop,SE16 3UL,Southwark,-0.063768,51.493492,blue anchor fish bar
1743031,Rose's fish bar,Takeaway/sandwich shop,SE22 9AX,Southwark,-0.069602,51.462141,rose s fish bar
1743910,Sports direct,Retailers - other,SE16 7LL,Southwark,-0.0464619,51.4950579,sports direct
1743911,Sports direct,Distributors/Transporters,SE1 5JJ,Southwark,-0.0750322,51.4881745,sports direct
1743916,Bubbly/day nursery,Caring Premises,SE16 3PB,Southwark,-0.060705,51.4914455,bubbly day nursery
1743917,La chingada,Restaurant/Cafe/Canteen,SE16 4RT,Southwark,-0.0619764,51.4981482,la chingada
1743918,Glass garden,Takeaway/sandwich shop,SE1 0SW,Southwark,,,glass garden
1743919,Lolo,Takeaway/sandwich shop,SE1 3UB,Southwark,-0.0819714,51.5006174,lolo
1743921,Cornerhouse cafe,Retailers - other,SE15 4BQ,Southwark,-0.0680731,51.4698382,cornerhouse cafe
1743922,Redemption roasters,Restaurant/Cafe/Canteen,SE21 7BN,Southwark,-0.0857631,51.4513717,redemption roasters
1743923,Caretrade cafe,Restaurant/Cafe/Canteen,SE17 2QB,Southwark,-0.093273,51.483787,caretrade cafe
1743925,The flow pizza,Takeaway/sandwich shop,SE16 3RA,Southwark,-0.072315,51.4976082,the flow pizza
1743926,Sports direct,Retailers - other,SE15 5EX,Southwark,-0.0690072,51.4708811,sports direct
1743927,Cha-fe,Restaurant/Cafe/Canteen,SE16 6BL,Southwark,-0.0441264,51.4987745,cha fe
1743928,The authentic souvlaki,Takeaway/sandwich shop,SE1 1JA,Southwark,-0.0921383,51.501314,the authentic souvlaki
1743929,Pax canteen,Retailers - other,SE1 1JA,Southwark,-0.0921383,51.501314,pax canteen
1743930,Turkish kitchen,Retailers - other,SE1 1JA,Southwark,-0.0921383,51.501314,turkish kitchen
1748037,Park life ltd the song bird cafe,Takeaway/sandwich shop,SE1 6HZ,Southwark,-0.108365,51.496018,park life ltd the song bird cafe
1748039,Coodie,Takeaway/sandwich shop,SE15 5ED,Southwark,-0.0685893,51.473617,coodie
1748040,Incredibowl,Mobile caterer,SE16 7AR,Southwark,-0.0492638,51.4980833,incredibowl
1748041,Kako coffee ltd,Mobile caterer,SE16 7AR,Southwark,-0.0491536,51.4978096,kako coffee ltd
1748043,Chop life,Takeaway/sandwich shop,SE21 8QW,Southwark,-0.0818882,51.4291229,chop life
1748044,Pulse bar,Restaurant/Cafe/Canteen,SE1 9DR,Southwark,-0.096244,51.507539,pulse bar
1748045,We juice it ltd,Takeaway/sandwich shop,SE1 9AL,Southwark,-0.090252,51.505428,we juice it ltd
1748047,Yun gui chuan rice noodle restaurant (bankside),Takeaway/sandwich shop,SE1 0UG,Southwark,-0.1014524,51.5051419,yun gui chuan rice noodle restaurant bankside
1748048,Divine home catering,Other catering premises,SE15,Southwark,,,divine home catering
1748050,Red ash pizza,Takeaway/sandwich shop,SE16 3EH,Southwark,-0.056286,51.49023,red ash pizza
1748053,Aba's kitchen,Takeaway/sandwich shop,SE17 2DH,Southwark,-0.092383,51.488898,aba s kitchen
1748054,Jadama's ltd,Retailers - other,SE1 1JA,Southwark,-0.0921383,51.501314,jadama s ltd
1748055,Coffee mobile london ltd,Retailers - other,SE1 1JA,Southwark,-0.0921383,51.501314,coffee mobile london ltd
1748056,Yum and bass,Retailers - other,SE1 1JA,Southwark,-0.0921383,51.501314,yum and bass
1748059,The rising se1,Pub/bar/nightclub,SE1 6AQ,Southwark,-0.09311,51.4947289,the rising se1
1751672,Gimlet drinks ltd,Distributors/Transporters,SE16 3AG,Southwark,-0.0690597,51.4958539,gimlet drinks ltd
1751673,Big belly comedy club,Pub/bar/nightclub,SE1 9GE,Southwark,-0.0880289971828461,51.5055084228516,big belly comedy club
1751675,Yard sale pizza,Takeaway/sandwich shop,SE1 4TW,Southwark,-0.082774,51.496493,yard sale pizza
1751677,Yadas green kitchen,Restaurant/Cafe/Canteen,SE15 4RZ,Southwark,-0.0681359991431236,51.4690132141113,yadas green kitchen
1751680,Impact food group @ haberdashers',School/college/university,SE1 0EX,Southwark,-0.097567,51.5027674,impact food group haberdashers
1751681,One southwark bridge,Other catering premises,SE1 9EU,Southwark,-0.095871,51.506131,one southwark bridge
1751682,Bedale opco,Restaurant/Cafe/Canteen,SE1 9AL,Southwark,-0.090251,51.505427,bedale opco
1751683,Kings food / keats cafe,Restaurant/Cafe/Canteen,SE1 1UL,Southwark,-0.08996488,51.50274429,kings food keats cafe
1751686,Ipanu,Retailers - other,SE1 ,Southwark,,,ipanu
1751688,Salem academy of music,School/college/university,SE15 1AE,Southwark,-0.0645208,51.4775427,salem academy of music
1751691,Seven enterprise,Restaurant/Cafe/Canteen,SE15 4SE,Southwark,-0.0688208,51.4681352,seven enterprise
1751692,Flotsam and jetsam dulwich picture gallery,Restaurant/Cafe/Canteen,SE21 7AD,Southwark,-0.0864204,51.4459777,flotsam and jetsam dulwich picture gallery
1751694,Tropikazo,Retailers - other,SE15 5EW,Southwark,-0.0694128,51.4723656,tropikazo
1751695,Mondo sando,Other catering premises,SE5 8RE,Southwark,-0.088231,51.472095,mondo sando
1751696,Sauna social club,Retailers - other,SE15 2AG,Southwark,-0.0612495,51.4691073,sauna social club
1751698,Currys,Retailers - other,SE15 1LA,Southwark,-0.0652509,51.4841106,currys
1751700,Bolla bolla limited,Mobile caterer,SE22,Southwark,,,bolla bolla limited
1754492,Love dulwich,Restaurant/Cafe/Canteen,SE22 8EP,Southwark,-0.07479,51.458584,love dulwich
1754493,Always inclusive ltd,Caring Premises,SE19 1SZ,Southwark,-0.07841,51.42207,always inclusive ltd
1754494,Mission care,Other catering premises,SE22 0JR,Southwark,-0.070299,51.452764,mission care
1754498,The kitchens 5 westmoreland,Takeaway/sandwich shop,SE17 2AX,Southwark,-0.092547,51.484288,the kitchens 5 westmoreland
1754500,Lahore karahi,Takeaway/sandwich shop,SE15 1TF,Southwark,-0.0560513,51.4826633,lahore karahi
1754501,Payless food and wines,Retailers - other,SE22 8HN,Southwark,-0.075501,51.460161,payless food and wines
1754502,Certitude,Caring Premises,SE1 5TW,Southwark,-0.075043,51.491351,certitude
1754505,Turkish bbq,Takeaway/sandwich shop,SE1 6DR,Southwark,-0.0983716,51.4984564,turkish bbq
1754506,Klementino's pizza,Other catering premises,SE16 3RA,Southwark,-0.0723711,51.4976451,klementino s pizza
1759836,Esso mfg dulwich,Retailers - other,SE22 9BD,Southwark,-0.068619,51.461891,esso mfg dulwich
1759838,Ellen brown adventure playground,Other catering premises,SE1 3EU,Southwark,-0.0753810033202171,51.4944839477539,ellen brown adventure playground
1759840,El gran sazon latino bakery,Takeaway/sandwich shop,SE1 6SW,Southwark,-0.098924,51.492673,el gran sazon latino bakery
1759841,All that falafel & more,Restaurant/Cafe/Canteen,SE1 0SW,Southwark,-0.1018303,51.5064081,all that falafel and more
1759842,Carniceria los calenos ltd,Retailers - other,SE5 0RW,Southwark,-0.0938117,51.4741019,carniceria los calenos ltd
1759843,Mikos gyros,Restaurant/Cafe/Canteen,SE16 3JU,Southwark,-0.056388,51.488181,mikos gyros
1759845,Mr gallo,Takeaway/sandwich shop,SE17 2TG,Southwark,-0.0942197,51.4864286,mr gallo
1759846,Honi poke,Restaurant/Cafe/Canteen,SE1 0SU,Southwark,-0.099883,51.506322,honi poke
1759847,Mint street adventure playground,Other catering premises,SE1 1QP,Southwark,,,mint street adventure playground
