FHRSID,BusinessName,BusinessNameClean,BusinessType,Address,PostCode,LocalAuthorityName,geocode.longitude,geocode.latitude,FinalClass,ClassificationSource
1542374,Brick Lane Bagel Co,brick lane bagel co,Restaurant/Cafe/Canteen,"81 Chase Cross Road, Romford",RM5 3PL,Havering,0.1679343,51.6005251,CORE_BAKERY,LOCATION_VERIFICATION
1924347,4 Coffee First Ltd,4 coffee first ltd,Restaurant/Cafe/Canteen,"199 Rush Green Road, Romford",RM7 0JR,Havering,0.1756997,51.565251,BAKERY_CAFE,VERIFIED_CANDIDATE
1770600,Tonys Bakery,tonys bakery,Restaurant/Cafe/Canteen,"59 White Hart Lane, Romford",RM7 8JB,Havering,0.157497,51.591689,BAKERY_CAFE,VERIFIED_CANDIDATE
372580,Iceland,iceland,Retailers - supermarkets/hypermarkets,"264 London Road, Romford",RM7 9NA,Havering,0.164205,51.574875,GROCER_BAKERY,LOCATION_VERIFICATION
854599,Budgens,budgens,Retailers - other,"57-63 London Road, Romford",RM7 9QA,Havering,0.175429,51.57509,GROCER_BAKERY,LOCATION_VERIFICATION
1665190,BB Fresh Pick,bb fresh pick,Retailers - other,"34 Victoria Road, Ruislip",HA4 0AG,Hillingdon,-0.4129729,51.5726182,GROCER_BAKERY,VERIFIED_CANDIDATE
1024168,Aldi Stores Limited,aldi stores limited,Retailers - supermarkets/hypermarkets,"Unit 1 Victoria Retail Park, Crown Road, Ruislip",HA4 0AJ,Hillingdon,-0.387932986021042,51.5561065673828,GROCER_BAKERY,LOCATION_VERIFICATION
518794,Manor Patisserie,manor patisserie,Retailers - other,"82 Victoria Road, Ruislip",HA4 0AL,Hillingdon,-0.411752,51.570928,CORE_BAKERY,VERIFIED_CANDIDATE
1010308,Asda,asda,Retailers - supermarkets/hypermarkets,"6 Old Dairy Lane, Ruislip",HA4 0FY,Hillingdon,-0.3997375,51.5590093,GROCER_BAKERY,SUPERMARKET_SUPPLEMENT
518679,Sainsbury's Supermarkets Ltd,sainsbury s supermarkets ltd,Retailers - supermarkets/hypermarkets,"J Sainsbury Plc, Long Drive, Ruislip",HA4 0HQ,Hillingdon,-0.396251,51.557085,GROCER_BAKERY,LOCATION_VERIFICATION
518932,Greggs,greggs,Retailers - other,"708 Field End Road, Ruislip",HA4 0QP,Hillingdon,-0.381202,51.560817,CORE_BAKERY,LOCATION_VERIFICATION
1066295,Lidl,lidl,Retailers - supermarkets/hypermarkets,"Lidl, Victoria Road, Ruislip",HA4 0QQ,Hillingdon,-0.397377997636795,51.5582618713379,GROCER_BAKERY,LOCATION_VERIFICATION
1427043,"BP, Londis & Pret a Manger",bp londis and pret a manger,Restaurant/Cafe/Canteen,"Victoria Road Service Station, Victoria Road, Ruislip",HA4 0SA,Hillingdon,-0.397466,51.55943,GROCER_BAKERY,VERIFIED_CANDIDATE
1945960,Pret A Manger,pret a manger,Restaurant/Cafe/Canteen,"Victoria Road Service Station, Victoria Road, Ruislip",HA4 0SA,Hillingdon,-0.397466,51.55943,BAKERY_CAFE,LOCATION_VERIFICATION
839004,Wenzels,wenzels,Retailers - other,"8 New Pond Parade, West End Road, Ruislip",HA4 6LR,Hillingdon,-0.413152,51.562629,CORE_BAKERY,LOCATION_VERIFICATION
1645431,Nisa Local,nisa local,Retailers - other,"16 High Street, Ruislip",HA4 7AN,Hillingdon,-0.4268315,51.576222,GROCER_BAKERY,LOCATION_VERIFICATION
520480,Sainsburys,sainsburys,Retailers - other,"48 High Street, Ruislip",HA4 7AS,Hillingdon,-0.426283,51.575521,GROCER_BAKERY,LOCATION_VERIFICATION
520497,Garlands Patisserie,garlands patisserie,Retailers - other,"27 High Street, Ruislip",HA4 7AU,Hillingdon,-0.426413,51.57635,CORE_BAKERY,VERIFIED_CANDIDATE
1714751,Ruislip Food Centre,ruislip food centre,Retailers - supermarkets/hypermarkets,"Jebsen House, 53-55 High Street, Ruislip",HA4 7BD,Hillingdon,-0.4250007,51.5749115,GROCER_BAKERY,SUPERMARKET_SUPPLEMENT
520496,Wenzels,wenzels,Retailers - other,"2 Ickenham Road, Ruislip",HA4 7BX,Hillingdon,-0.427468,51.573792,CORE_BAKERY,LOCATION_VERIFICATION
520481,Waitrose Ltd,waitrose ltd,Retailers - supermarkets/hypermarkets,"9 Kingsend, Ruislip",HA4 7DS,Hillingdon,-0.423035,51.571377,GROCER_BAKERY,LOCATION_VERIFICATION
1760847,GAIL's Ruislip,gail s ruislip,Restaurant/Cafe/Canteen,"63 High Street, Ruislip",HA4 8JB,Hillingdon,-0.424709,51.5745839,CORE_BAKERY,VERIFIED_CANDIDATE
520520,Iceland Foods Plc,iceland foods plc,Retailers - supermarkets/hypermarkets,"142 High Street, Ruislip",HA4 8LJ,Hillingdon,-0.423174,51.572772,GROCER_BAKERY,LOCATION_VERIFICATION
1603011,Opa! Greek Bakery & Patisserie,opa greek bakery and patisserie,Retailers - other,"154 High Street, Ruislip",HA4 8LJ,Hillingdon,-0.4232231,51.5729003,CORE_BAKERY,LOCATION_VERIFICATION
518806,Budgens,budgens,Retailers - other,"47 Victoria Road, Ruislip",HA4 9AB,Hillingdon,-0.412354,51.572708,GROCER_BAKERY,LOCATION_VERIFICATION
1077512,Wenzels,wenzels,Retailers - other,"31 Victoria Road, Ruislip",HA4 9AB,Hillingdon,-0.4124446,51.5728719,CORE_BAKERY,LOCATION_VERIFICATION
1558784,Langley Fresh,langley fresh,Retailers - other,"97 Victoria Road, Ruislip",HA4 9BN,Hillingdon,-0.411016,51.570927,GROCER_BAKERY,VERIFIED_CANDIDATE
518881,Morrisons Daily,morrisons daily,Retailers - other,"161 Whitby Road, Ruislip",HA4 9EB,Hillingdon,-0.394995,51.568182,GROCER_BAKERY,LOCATION_VERIFICATION
1299682,Francesca Cakes & Coffee,francesca cakes and coffee,Restaurant/Cafe/Canteen,"263 Field End Road, Eastcote",HA4 9NJ,Hillingdon,-0.3965453,51.5756748,BAKERY_CAFE,VERIFIED_CANDIDATE
939972,Aldi Stores Ltd,aldi stores ltd,Retailers - supermarkets/hypermarkets,"Aldi Stores Ltd, 127-133 Field End Road, Eastcote",HA5 1QH,Hillingdon,-0.3990765,51.579183,GROCER_BAKERY,LOCATION_VERIFICATION
1699406,Machiato,machiato,Restaurant/Cafe/Canteen,"125 Field End Road, Eastcote",HA5 1QH,Hillingdon,-0.3991574,51.5793152,BAKERY_CAFE,VERIFIED_CANDIDATE
519723,Wenzels the Bakers,wenzels the bakers,Retailers - other,"155 Field End Road, Eastcote",HA5 1QL,Hillingdon,-0.398989,51.578524,CORE_BAKERY,LOCATION_VERIFICATION
1782440,Feza's Eastcote Bakery,feza s eastcote bakery,Restaurant/Cafe/Canteen,"201 Field End Road, Eastcote",HA5 1QZ,Hillingdon,-0.3977011,51.5771316,CORE_BAKERY,VERIFIED_CANDIDATE
518924,Patisserie brione,patisserie brione,Retailers - other,"188 Field End Road, Eastcote",HA5 1RF,Hillingdon,-0.39888,51.577515,CORE_BAKERY,VERIFIED_CANDIDATE
518831,Budgens - Esso Petrol Station,budgens esso petrol station,Retailers - other,"High Road, Eastcote",HA5 2ET,Hillingdon,-0.407286,51.584769,GROCER_BAKERY,VERIFIED_CANDIDATE
519156,JP Newsagents,jp newsagents,Retailers - other,"Northwood Hills Post Office 71 Ryefield Parade, Joel Street, Northwood",HA6 1LW,Hillingdon,-0.409486,51.599897,GROCER_BAKERY,VERIFIED_CANDIDATE
